Team,Team2,toss_winner,toss_decision
MI,CSK,MI,bat
MI,CSK,MI,field
MI,CSK,CSK,bat
MI,CSK,CSK,field
DC,KXIP,DC,bat
DC,KXIP,DC,field
DC,KXIP,KXIP,bat
DC,KXIP,KXIP,field
SRH,RCB,SRH,bat
SRH,RCB,SRH,field
SRH,RCB,RCB,bat
SRH,RCB,RCB,field
RR,CSK,RR,bat
RR,CSK,RR,field
RR,CSK,CSK,bat
RR,CSK,CSK,field
KKR,MI,KKR,bat
KKR,MI,KKR,field
KKR,MI,MI,bat
KKR,MI,MI,field
KXIP,RCB,KXIP,bat
KXIP,RCB,KXIP,field
KXIP,RCB,RCB,bat
KXIP,RCB,RCB,field
CSK,DC,CSK,bat
CSK,DC,CSK,field
CSK,DC,DC,bat
CSK,DC,DC,field
KKR,SRH,KKR,bat
KKR,SRH,KKR,field
KKR,SRH,SRH,bat
KKR,SRH,SRH,field
RR,KXIP,RR,bat
RR,KXIP,RR,field
RR,KXIP,KXIP,bat
RR,KXIP,KXIP,field
RCB,MI,RCB,bat
RCB,MI,RCB,field
RCB,MI,MI,bat
RCB,MI,MI,field
DC,SRH,DC,bat
DC,SRH,DC,field
DC,SRH,SRH,bat
DC,SRH,SRH,field
RR,KKR,RR,bat
RR,KKR,RR,field
RR,KKR,KKR,bat
RR,KKR,KKR,field
KXIP,MI,KXIP,bat
KXIP,MI,KXIP,field
KXIP,MI,MI,bat
KXIP,MI,MI,field
CSK,SRH,CSK,bat
CSK,SRH,CSK,field
CSK,SRH,SRH,bat
CSK,SRH,SRH,field
RCB,RR,RCB,bat
RCB,RR,RCB,field
RCB,RR,RR,bat
RCB,RR,RR,field
DC,KKR,DC,bat
DC,KKR,DC,field
DC,KKR,KKR,bat
DC,KKR,KKR,field
MI,SRH,MI,bat
MI,SRH,MI,field
MI,SRH,SRH,bat
MI,SRH,SRH,field
KXIP,CSK,KXIP,bat
KXIP,CSK,KXIP,field
KXIP,CSK,CSK,bat
KXIP,CSK,CSK,field
RCB,DC,RCB,bat
RCB,DC,RCB,field
RCB,DC,DC,bat
RCB,DC,DC,field
MI,RR,MI,bat
MI,RR,MI,field
MI,RR,RR,bat
MI,RR,RR,field
KKR,CSK,KKR,bat
KKR,CSK,KKR,field
KKR,CSK,CSK,bat
KKR,CSK,CSK,field
SRH,KXIP,SRH,bat
SRH,KXIP,SRH,field
SRH,KXIP,KXIP,bat
SRH,KXIP,KXIP,field
RR,DC,RR,bat
RR,DC,RR,field
RR,DC,DC,bat
RR,DC,DC,field
KXIP,KKR,KXIP,bat
KXIP,KKR,KXIP,field
KXIP,KKR,KKR,bat
KXIP,KKR,KKR,field
CSK,RCB,CSK,bat
CSK,RCB,CSK,field
CSK,RCB,RCB,bat
CSK,RCB,RCB,field
SRH,RR,SRH,bat
SRH,RR,SRH,field
SRH,RR,RR,bat
SRH,RR,RR,field
MI,DC,MI,bat
MI,DC,MI,field
MI,DC,DC,bat
MI,DC,DC,field
RCB,KKR,RCB,bat
RCB,KKR,RCB,field
RCB,KKR,KKR,bat
RCB,KKR,KKR,field
SRH,CSK,SRH,bat
SRH,CSK,SRH,field
SRH,CSK,CSK,bat
SRH,CSK,CSK,field
DC,RR,DC,bat
DC,RR,DC,field
DC,RR,RR,bat
DC,RR,RR,field
RCB,KXIP,RCB,bat
RCB,KXIP,RCB,field
RCB,KXIP,KXIP,bat
RCB,KXIP,KXIP,field
MI,KKR,MI,bat
MI,KKR,MI,field
MI,KKR,KKR,bat
MI,KKR,KKR,field
RR,RCB,RR,bat
RR,RCB,RR,field
RR,RCB,RCB,bat
RR,RCB,RCB,field
DC,CSK,DC,bat
DC,CSK,DC,field
DC,CSK,CSK,bat
DC,CSK,CSK,field
SRH,KKR,SRH,bat
SRH,KKR,SRH,field
SRH,KKR,KKR,bat
SRH,KKR,KKR,field
MI,KXIP,MI,bat
MI,KXIP,MI,field
MI,KXIP,KXIP,bat
MI,KXIP,KXIP,field
CSK,RR,CSK,bat
CSK,RR,CSK,field
CSK,RR,RR,bat
CSK,RR,RR,field
KXIP,DC,KXIP,bat
KXIP,DC,KXIP,field
KXIP,DC,DC,bat
KXIP,DC,DC,field
KKR,RCB,KKR,bat
KKR,RCB,KKR,field
KKR,RCB,RCB,bat
KKR,RCB,RCB,field
RR,SRH,RR,bat
RR,SRH,RR,field
RR,SRH,SRH,bat
RR,SRH,SRH,field
CSK,MI,CSK,bat
CSK,MI,CSK,field
CSK,MI,MI,bat
CSK,MI,MI,field
KKR,DC,KKR,bat
KKR,DC,KKR,field
KKR,DC,DC,bat
KKR,DC,DC,field
KXIP,SRH,KXIP,bat
KXIP,SRH,KXIP,field
KXIP,SRH,SRH,bat
KXIP,SRH,SRH,field
RCB,CSK,RCB,bat
RCB,CSK,RCB,field
RCB,CSK,CSK,bat
RCB,CSK,CSK,field
RR,MI,RR,bat
RR,MI,RR,field
RR,MI,MI,bat
RR,MI,MI,field
KKR,KXIP,KKR,bat
KKR,KXIP,KKR,field
KKR,KXIP,KXIP,bat
KKR,KXIP,KXIP,field
SRH,DC,SRH,bat
SRH,DC,SRH,field
SRH,DC,DC,bat
SRH,DC,DC,field
MI,RCB,MI,bat
MI,RCB,MI,field
MI,RCB,RCB,bat
MI,RCB,RCB,field
CSK,KKR,CSK,bat
CSK,KKR,CSK,field
CSK,KKR,KKR,bat
CSK,KKR,KKR,field
KXIP,RR,KXIP,bat
KXIP,RR,KXIP,field
KXIP,RR,RR,bat
KXIP,RR,RR,field
DC,MI,DC,bat
DC,MI,DC,field
DC,MI,MI,bat
DC,MI,MI,field
RCB,SRH,RCB,bat
RCB,SRH,RCB,field
RCB,SRH,SRH,bat
RCB,SRH,SRH,field
CSK,KXIP,CSK,bat
CSK,KXIP,CSK,field
CSK,KXIP,KXIP,bat
CSK,KXIP,KXIP,field
KKR,RR,KKR,bat
KKR,RR,KKR,field
KKR,RR,RR,bat
KKR,RR,RR,field
DC,RCB,DC,bat
DC,RCB,DC,field
DC,RCB,RCB,bat
DC,RCB,RCB,field
SRH,MI,SRH,bat
SRH,MI,SRH,field
SRH,MI,MI,bat
SRH,MI,MI,field
